Estimate,Std. Error,event_time,method
-0.000209005102578489,0.000180093168664713,-9,did
-0.000191324472209782,0.00011666863397754,-8,did
-9.38560559058341e-05,0.000104118364189684,-7,did
0.000141901156744383,8.7400752509587e-05,-6,did
2.75612333416963e-05,7.00192229356901e-05,-5,did
1.87820438182089e-06,7.19058214152384e-05,-4,did
4.37760915419237e-05,6.97865479046146e-05,-3,did
-4.05361278109835e-06,6.10439177665786e-05,-2,did
0,,-1,did
2.11658784074266,5.97009408248045e-05,0,did
3.46793722318583,6.16902869574633e-05,1,did
2.37790612273376,6.78039846808476e-05,2,did
1.86926267633058,7.73923969520565e-05,3,did
2.65317391197322,7.16187002882098e-05,4,did
3.28441252164813,8.48844427009506e-05,5,did
2.96309789126961,9.62340993227051e-05,6,did
0.154378247381327,0.000124630703558158,7,did
1.17871232387492,0.000170357782480991,8,did
0.000141901156745662,0.191706245536196,-6,ec_dynamic
2.75612333428497e-05,0.171009805857691,-5,ec_dynamic
1.87820437936595e-06,0.130240326819818,-4,ec_dynamic
4.37760915412704e-05,0.119063969698866,-3,ec_dynamic
-4.05361278064367e-06,0.0980272214342197,-2,ec_dynamic
2.11658784074259,0.0971615979074668,0,ec_dynamic
3.4679372231858,0.117274367836266,1,ec_dynamic
2.37790612273366,0.117541273179307,2,ec_dynamic
1.86926267633054,0.137815757646973,3,ec_dynamic
2.65317391197329,0.143303029706247,4,ec_dynamic
3.28441252164813,0.120064310947849,5,ec_dynamic
2.96309789126956,0.0593402223908046,6,ec_dynamic
0.154378247381329,0.202315032455138,7,ec_dynamic
1.17871232387492,0.000174341422031796,8,ec_dynamic
-0.000191324472209155,0.0885240224758714,-8,ec_dynamic
-9.38560559065684e-05,0.16286093045073,-7,ec_dynamic
-0.000209005102578263,0.000180224730831956,-9,ec_dynamic
-4.0536127822767e-06,0.0980442765239061,-2,old event code
4.37760915373996e-05,0.119075004916037,-3,old event code
1.87820438284818e-06,0.130238912361951,-4,old event code
2.75612333394374e-05,0.170984719133446,-5,old event code
0.000141901156746898,0.191641544720256,-6,old event code
-9.38560559023133e-05,0.162758806113912,-7,old event code
-0.00019132447221085,0.0884233862098243,-8,old event code
-0.000209005102578506,0.000179782936518091,-9,old event code
2.1165878407428,0.0971848799446511,0,old event code
3.46793722318631,0.11729973838051,1,old event code
2.37790612273381,0.117563043478107,2,old event code
1.86926267633054,0.137835345556115,3,old event code
2.65317391197309,0.143314388072872,4,old event code
3.28441252164824,0.120050945647399,5,old event code
2.96309789126963,0.0593157166500355,6,old event code
0.154378247381324,0.202117470598422,7,old event code
1.17871232387493,0.000173914049780676,8,old event code
